"pid","assessed_value"
1,475642.792268306
2,588076.425852241
3,463109.22839642
4,284902.989336074
5,684036.595221165
6,336163.995707467
7,391643.28752604
8,820030.553316162
9,511160.063705948
10,831507.490154631
11,299119.18504683
12,532890.559096075
13,287334.451852725
14,394428.946203845
15,614022.838289068
16,305616.440904794
17,289194.117441271
18,440053.545599877
19,329289.802289762
20,313390.055659312
21,348598.573500447
22,343643.900528377
23,322106.498916338
24,760152.387192211
25,781996.937912076
26,286475.27573987
27,342207.514219924
28,864833.777160394
29,278738.174087965
30,272091.374707108
31,331262.885070398
32,424143.197977947
33,448647.077168933
34,298705.886644202
35,456061.158689051
36,571317.581918092
37,200911.152213752
38,460336.407725735
39,765047.652456315
40,382500.147631859
41,508620.16601586
42,470895.306674931
43,480251.129421448
44,720532.330573912
45,266699.058880833
46,756576.949585181
47,651407.535065026
48,431014.09079635
49,1000082.9664985
50,636836.2761053
51,226822.584469256
52,510636.446168791
53,269341.093660627
54,405225.004636159
55,240916.849613457
56,296709.974613467
57,704955.673607971
58,354243.19260357
59,270590.366770238
60,737719.796070334
61,251501.431156673
62,246952.700559549
63,534774.111787309
64,190240.365104046
65,485070.919085531
66,521433.438546214
67,360375.924276857
68,955979.773547574
69,659110.911948802
70,455930.585159492
71,377481.946392052
72,516625.2104583
73,361857.586484135
74,190424.168934858
75,689392.143586298
76,389320.63412999
77,361953.899640245
78,516543.131119741
79,267101.496441343
80,748181.690074415
81,279278.290591055
82,663796.29987287
83,356066.275965274
84,342492.642444464
85,296673.797305105
86,233415.560462219
87,613152.454158172
88,293654.118433935
89,643454.237484918
90,425341.326912128
91,234514.698494723
92,549830.088847553
93,377435.268950808
94,484079.295634957
95,656101.628174935
96,360349.341196599
97,410996.601191534
98,495471.280098289
99,778794.933090477
100,480095.387450131
101,439621.131528149
102,582750.046061707
103,368510.203298601
104,584619.765728263
105,529842.101880966
106,691671.795749975
107,691191.287319098
108,437395.82330504
109,888399.360378797
110,248868.31609289
111,439161.495808074
112,783264.083656625
113,772201.578055093
114,900731.76657218
115,491512.965933702
116,696579.788635199
117,264560.502470078
118,480867.509644729
119,575593.547785893
120,425480.040260292
121,379665.10179891
122,413652.826858163
123,393430.076296662
124,272194.489613611
125,646866.761179025
126,689946.442369836
127,781052.09023087
128,529014.924297015
129,309440.294236113
130,413477.564745186
131,438923.949857112
132,244199.670543607
133,464528.26994561
134,485854.322853399
135,135370.569366145
136,515102.131171591
137,349499.618772247
138,270673.146130406
139,510969.000345388
140,236215.966043494
141,305240.885246102
142,519124.628292705
143,552395.971377237
144,284980.872768998
145,535816.12006458
146,386024.022168385
147,293976.794049163
148,445898.860137498
149,327501.984719957
150,309568.474121448
151,642441.28162505
152,289040.849679781
153,433667.079525468
154,396947.291210749
155,435904.891088903
156,296561.731872664
157,661190.148341911
158,520236.682990229
159,351292.972228314
160,689987.390133927
161,801685.756594726
162,394876.363277558
163,416038.682941057
164,398245.769105411
165,606836.060128543
166,679099.463210511
167,383571.02157937
168,480342.68257425
169,325698.704874504
170,537311.241975495
171,291251.994078507
172,807711.245009276
173,151673.964562312
174,501868.195081139
175,891231.818250521
176,421193.742355645
177,498751.717229286
178,461388.2233413
179,255401.946735715
